"","maakunta","vuosi","toimiala","tuottavuus","nobs"
"242","Pohjois-Pohjanmaa",2013,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.454729155383258,252
"243","Pohjois-Savo",2013,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.989674453075205,103
"244","Satakunta",2013,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.80752753368059,163
"245","Uusimaa",2013,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",1.85801880409644,210
"246","Varsinais-Suomi",2013,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",2.03089544544343,318
"247","Ahvenanmaa",2013,"Taiteet, viihde ja virkistys",2.53810176724889,14
"248","Etelä-Karjala",2013,"Taiteet, viihde ja virkistys",2.78178164402914,309
"249","Etelä-Pohjanmaa",2013,"Taiteet, viihde ja virkistys",3.6737403014965,343
"250","Etelä-Savo",2013,"Taiteet, viihde ja virkistys",3.03183777725061,345
"251","Kainuu",2013,"Taiteet, viihde ja virkistys",2.21309217330953,70
"252","Kanta-Häme",2013,"Taiteet, viihde ja virkistys",3.56471106102217,496
"253","Keski-Pohjanmaa",2013,"Taiteet, viihde ja virkistys",3.00581782226227,151
"254","Keski-Suomi",2013,"Taiteet, viihde ja virkistys",3.03741192022856,518
"255","Kymenlaakso",2013,"Taiteet, viihde ja virkistys",2.81445399532578,399
"256","Lappi",2013,"Taiteet, viihde ja virkistys",2.57814074025385,202
"257","Päijät-Häme",2013,"Taiteet, viihde ja virkistys",3.10788515436108,229
"258","Pirkanmaa",2013,"Taiteet, viihde ja virkistys",4.04266826123299,1348
"259","Pohjanmaa",2013,"Taiteet, viihde ja virkistys",2.63994240156768,167
"260","Pohjois-Karjala",2013,"Taiteet, viihde ja virkistys",2.94964449397999,326
"261","Pohjois-Pohjanmaa",2013,"Taiteet, viihde ja virkistys",2.6103369949394,797
